CampusKey,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection
1,2021-01-02 21:00:00,22.42666667,19.12666667,19.12666667,100.0,17.4,129.0
1,2021-01-02 21:15:00,22.36666667,19.18666667,19.18666667,100.0,13.26,129.0
1,2021-01-02 21:30:00,22.30666667,19.12666667,19.12666667,100.0,19.42,129.0
1,2021-01-02 21:45:00,21.04,19.03333333,19.07333333,100.0,15.94,158.0
1,2021-01-02 22:00:00,20.56666667,18.85333333,19.05333333,100.0,19.98666667,165.06666669999996
1,2021-01-02 22:15:00,20.37333333,18.70666667,18.90666667,100.0,24.34666667,208.2666667
1,2021-01-02 22:30:00,19.74666667,18.6,18.8,100.0,32.32666667,206.0666667
1,2021-01-02 22:45:00,19.44666667,18.45333333,18.6,100.0,25.54,210.0
1,2021-01-02 23:00:00,19.79333333,18.39333333,18.39333333,100.0,25.02666667,208.8666667
1,2021-01-02 23:15:00,19.68666667,18.3,18.3,100.0,26.92666667,216.4666667
1,2021-01-02 23:30:00,20.14666667,18.23333333,18.23333333,100.0,26.15333333,233.1333333
1,2021-01-02 23:45:00,19.91333333,18.1,18.1,100.0,32.54,230.3333333
1,2021-01-03 00:00:00,19.16,17.94666667,17.94666667,100.0,25.44666667,246.8
1,2021-01-03 00:15:00,19.04,17.9,17.9,100.0,29.75333333,250.0
1,2021-01-03 00:30:00,18.94,17.89333333,17.89333333,100.0,32.92666667,251.5333333
1,2021-01-03 00:45:00,18.76666667,17.80666667,17.80666667,100.0,28.24,244.6666667
1,2021-01-03 01:00:00,18.66666667,17.66666667,17.66666667,100.0,27.91333333,241.7333333
1,2021-01-03 01:15:00,19.1,17.60666667,17.60666667,100.0,31.40666667,251.4
1,2021-01-03 01:30:00,19.14666667,17.55333333,17.55333333,100.0,29.50666667,246.6666667
1,2021-01-03 01:45:00,20.10666667,17.50666667,17.50666667,100.0,24.1,247.0
1,2021-01-03 02:00:00,19.95333333,17.42,17.42,100.0,24.7,247.0
1,2021-01-03 02:15:00,19.8,17.3,17.3,100.0,23.82,247.0
1,2021-01-03 02:30:00,19.54666667,17.34666667,17.34666667,100.0,23.62,253.0
1,2021-01-03 02:45:00,19.01333333,17.34,17.34,100.0,24.44,256.0
1,2021-01-03 03:00:00,18.88666667,17.19333333,17.19333333,100.0,22.1,261.8666667
1,2021-01-03 03:15:00,19.54666667,17.12,17.12,100.0,19.88,266.0
1,2021-01-03 03:30:00,19.48,17.06666667,17.06666667,100.0,19.18,266.0
1,2021-01-03 03:45:00,19.7,17.2,17.33333333,100.0,16.74,266.0
1,2021-01-03 04:00:00,19.46666667,17.34,17.54,100.0,12.52,266.0
1,2021-01-03 04:15:00,19.98,17.44,17.64,100.0,8.32,266.0
1,2021-01-03 04:30:00,19.78666667,17.4,17.54666667,100.0,14.78666667,266.0
1,2021-01-03 04:45:00,19.56,17.54666667,17.68,100.0,27.54,266.0
1,2021-01-03 05:00:00,19.53333333,17.5,17.54,100.0,33.5,266.0666667
1,2021-01-03 05:15:00,19.49333333,17.6,17.6,100.0,35.16666667,265.7333333
1,2021-01-03 05:30:00,19.56666667,17.74,17.74,100.0,31.72666667,265.1333333
1,2021-01-03 05:45:00,19.46,17.85333333,17.85333333,100.0,34.03333333,282.9333333
1,2021-01-03 06:00:00,19.42666667,17.86666667,17.86666667,100.0,35.81333333,271.3333333
1,2021-01-03 06:15:00,19.2,17.65333333,17.65333333,100.0,32.3,264.53333330000004
1,2021-01-03 06:30:00,20.28,17.64,17.73333333,100.0,31.76666667,264.53333330000004
1,2021-01-03 06:45:00,20.12,17.63333333,17.83333333,100.0,34.98,261.8666667
